date,price_change,ma7,ma14,high_low_diff,open_close_diff,volume,sentiment_mean,news_count,target
2024-01-22,-0.0033061688486922,2022.071428571429,2029.4642769949776,1.5,-1.5,12,0.0,0.0,1
2024-01-23,0.0019308358498222,2023.414271763393,2026.557137625558,7.800048828125,-6.60009765625,15,0.0,0.0,0
2024-01-24,-0.004842578936733,2018.7285679408485,2025.107142857143,19.2999267578125,-9.2999267578125,253,0.0,0.0,1
2024-01-25,0.0014896469356133,2017.4285714285716,2023.2928553989957,10.300048828125227,4.800048828125227,548,0.0,0.0,0
2024-01-26,-4.956893486407488e-05,2019.4571533203125,2021.4642857142856,5.5999755859375,-4.89990234375,49,0.0,0.0,1
2024-01-29,0.0041649653611575,2020.4000069754463,2021.364283970424,0.0,0.0,150708,0.0,0.0,1
2024-01-30,0.0031108280564986,2021.114292689732,2021.7285679408485,20.400024414062727,-1.0,26907,0.0,0.0,1
2024-01-31,0.0083189280550086,2025.199986049107,2023.635707310268,25.0,12.9998779296875,2007,0.0,0.0,1
2024-02-01,0.0022457029269462,2029.385707310268,2026.3999895368304,35.5,12.800048828125,947,0.0,0.0,0
2024-02-02,-0.0082318677126462,2032.5571289062495,2025.642848423549,28.199951171875,-18.700073242187727,888,0.0,0.0,0
2024-02-05,-0.0051078161872033,2033.814261300223,2025.6214163643972,27.0,-13.2000732421875,412,0.0,0.0,1
2024-02-06,0.0043442015304557,2036.342825753348,2027.8999895368304,11.4000244140625,8.5999755859375,249,0.0,0.0,1
2024-02-07,0.0003440408807446,2037.7713971819196,2029.085702078683,6.800048828125,2.39990234375,71,0.0,0.0,0
2024-02-08,-0.0014740566391389,2037.871390206473,2029.4928414481024,16.39990234375,4.199951171875,341,0.0,0.0,0
2024-02-09,-0.0043794422584342,2034.2856968470985,2029.7428414481024,12.0,-8.699951171875,62,0.0,0.0,0
2024-02-12,-0.0025206828118271,2029.3142613002235,2029.3499843052452,13.900024414062727,-7.300048828125,317,0.0,0.0,0
2024-02-13,-0.0125358871122368,2023.1428397042407,2027.8499843052452,35.800048828125,-32.19995117187477,198,0.0,0.0,0
2024-02-14,-0.0013046191751149,2018.0857107979912,2025.949986049107,8.699951171875,0.0,1916,0.0,0.0,1
2024-02-15,0.0059287175141053,2013.4571358816963,2024.8999808175224,13.599975585937727,8.5,286,0.0,0.0,1
2024-02-16,0.0046950824277951,2010.071428571429,2023.921412876674,15.0,6.5,32,0.0,0.0,1
