date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-02-23,0,67692.69084428,67692.69084428,67692.69084428,67692.69084428,67692.69084428,1,2026-02-23 00:01:26
2026-02-23,1,67682.46455005,67682.46455005,67682.46455005,67682.46455005,67682.46455005,1,2026-02-23 01:01:26
2026-02-23,2,66808.51565079,66808.51565079,66808.51565079,66808.51565079,66808.51565079,1,2026-02-23 02:01:25
2026-02-23,3,64529.22730926,64529.22730926,64529.22730926,64529.22730926,64529.22730926,1,2026-02-23 03:01:27
2026-02-23,4,64755.84812226,64755.84812226,64755.84812226,64755.84812226,64755.84812226,1,2026-02-23 04:01:27
2026-02-23,9,65610.92375193999,65610.9103244,65610.93717948,65610.93717948,65610.9103244,2,2026-02-23 09:43:05
2026-02-23,11,66366.8904252896,66268.96153267,66464.03560447,66372.58075187,66291.77635834,25,2026-02-23 11:42:58
2026-02-23,12,66328.3339477814,66160.91573552,66442.15667786,66364.52818544,66160.91573552,43,2026-02-23 12:42:59
2026-02-23,13,66155.11219904138,65975.10742413,66282.58821819,66189.59150754,66282.58821819,43,2026-02-23 13:42:57
2026-02-23,14,66236.71836783721,66179.81729491,66332.88668665,66277.98562465,66193.43245309,43,2026-02-23 14:43:02
2026-02-23,15,66118.72944954233,65728.83490337,66235.96607659,66149.53135845,65728.83490337,43,2026-02-23 15:42:57
2026-02-23,16,65902.8569468207,65788.96128781,66089.93220818,65968.82736145,65841.54756883,43,2026-02-23 16:42:58
