date,avg_price,min_price,max_price,opening_price,closing_price,price_change,price_change_pct,total_data_points,hours_with_data,calculated_at
2026-02-23,65554.35911588,65554.35911588,65554.35911588,65554.35911588,65554.35911588,0.0,0.0,1,1,2026-02-23 17:37:59
2026-02-24,63619.62945390327,62843.32111228,64985.65413716,64693.95145908,63823.14364709,-870.8078119900019,-1.3460420833017168,285,11,2026-02-24 17:37:50
