date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-02-22,0,68026.78311895167,67954.77892252,68102.80293008,67964.40437794,68096.18910759,42,2026-02-22 00:42:44
2026-02-22,14,67950.56193160001,67950.55592969,67950.56793351,67950.56793351,67950.55592969,2,2026-02-22 14:01:38
2026-02-22,16,67427.45034876,67427.45034876,67427.45034876,67427.45034876,67427.45034876,1,2026-02-22 16:01:25
2026-02-22,17,67688.70179011,67688.70179011,67688.70179011,67688.70179011,67688.70179011,1,2026-02-22 17:01:25
2026-02-22,18,67632.50616585,67632.50616585,67632.50616585,67632.50616585,67632.50616585,1,2026-02-22 18:01:26
2026-02-22,19,67375.87526645,67375.87526645,67375.87526645,67375.87526645,67375.87526645,1,2026-02-22 19:01:26
2026-02-22,20,67427.38752846,67427.38752846,67427.38752846,67427.38752846,67427.38752846,1,2026-02-22 20:01:26
2026-02-22,21,67433.22405653,67433.22405653,67433.22405653,67433.22405653,67433.22405653,1,2026-02-22 21:01:26
2026-02-22,22,67398.52799924,67398.52799924,67398.52799924,67398.52799924,67398.52799924,1,2026-02-22 22:01:26
2026-02-22,23,67615.23448203,67615.23448203,67615.23448203,67615.23448203,67615.23448203,1,2026-02-22 23:01:26
