date,avg_price,min_price,max_price,opening_price,closing_price,price_change,price_change_pct,total_data_points,hours_with_data,calculated_at
2026-02-21,68149.47060722417,68133.12033723,68183.0360487,68183.0360487,68145.1439519,-37.89209680000204,-0.0555740826397602,12,1,2026-02-21 12:47:00
2026-02-22,68026.78311895167,67954.77892252,68102.80293008,67964.40437794,68096.18910759,131.7847296500113,0.1939025742316167,42,1,2026-02-22 01:00:04
2026-02-23,67692.69084428,67692.69084428,67692.69084428,67692.69084428,67692.69084428,0.0,0.0,1,1,2026-02-23 01:00:03
