mins,price,closeTime,timestamp,fetch_time,price_float
5,67692.69084428,1771801243650,2026-02-23T00:00:43.632386,2026-02-23 00:00:43,67692.69084428
5,67686.39874081,1771801304052,2026-02-23T00:01:44.184960,2026-02-23 00:01:44,67686.39874081
5,67684.68481635,1771801364203,2026-02-23T00:02:44.357279,2026-02-23 00:02:44,67684.68481635
5,67668.29590513,1771801423896,2026-02-23T00:03:44.462371,2026-02-23 00:03:44,67668.29590513
5,67660.3149844,1771801484068,2026-02-23T00:04:44.227922,2026-02-23 00:04:44,67660.3149844
5,67655.74084602,1771801543904,2026-02-23T00:05:43.659873,2026-02-23 00:05:43,67655.74084602
5,67656.44654469,1771801604272,2026-02-23T00:06:44.403095,2026-02-23 00:06:44,67656.44654469
5,67652.18859744,1771801665343,2026-02-23T00:07:45.174931,2026-02-23 00:07:45,67652.18859744
5,67652.16505462,1771801724219,2026-02-23T00:08:44.137696,2026-02-23 00:08:44,67652.16505462
5,67649.46419992,1771801787204,2026-02-23T00:09:47.544772,2026-02-23 00:09:47,67649.46419992
5,67630.53343057,1771801844559,2026-02-23T00:10:44.678487,2026-02-23 00:10:44,67630.53343057
5,67615.04015088,1771801904162,2026-02-23T00:11:44.631516,2026-02-23 00:11:44,67615.04015088
5,67592.61686377,1771801962968,2026-02-23T00:12:43.917136,2026-02-23 00:12:43,67592.61686377
5,67585.45573621,1771802024596,2026-02-23T00:13:44.191460,2026-02-23 00:13:44,67585.45573621
5,67557.53049142,1771802084024,2026-02-23T00:14:44.158866,2026-02-23 00:14:44,67557.53049142
5,67530.3595594,1771802144739,2026-02-23T00:15:44.455423,2026-02-23 00:15:44,67530.3595594
5,67518.78165215,1771802204374,2026-02-23T00:16:44.329127,2026-02-23 00:16:44,67518.78165215
5,67517.23788498,1771802263771,2026-02-23T00:17:44.834788,2026-02-23 00:17:44,67517.23788498
5,67517.833981,1771802325007,2026-02-23T00:18:44.664148,2026-02-23 00:18:44,67517.833981
5,67519.03555228,1771802390864,2026-02-23T00:19:51.110518,2026-02-23 00:19:51,67519.03555228
5,67522.05847917,1771802443455,2026-02-23T00:20:44.262328,2026-02-23 00:20:44,67522.05847917
5,67519.72701612,1771802504966,2026-02-23T00:21:44.723050,2026-02-23 00:21:44,67519.72701612
5,67513.21703631,1771802564281,2026-02-23T00:22:44.351453,2026-02-23 00:22:44,67513.21703631
5,67506.07734627,1771802622373,2026-02-23T00:23:43.991319,2026-02-23 00:23:43,67506.07734627
5,67506.06248069,1771802683037,2026-02-23T00:24:44.688962,2026-02-23 00:24:44,67506.06248069
5,67525.00285481,1771802744747,2026-02-23T00:25:44.751736,2026-02-23 00:25:44,67525.00285481
5,67548.44836626,1771802803566,2026-02-23T00:26:43.847826,2026-02-23 00:26:43,67548.44836626
5,67556.05802067,1771802864929,2026-02-23T00:27:44.821147,2026-02-23 00:27:44,67556.05802067
5,67563.63882488,1771802924425,2026-02-23T00:28:44.656414,2026-02-23 00:28:44,67563.63882488
5,67582.09469379,1771802988093,2026-02-23T00:29:49.242594,2026-02-23 00:29:49,67582.09469379
5,67583.7400529,1771803044532,2026-02-23T00:30:44.773976,2026-02-23 00:30:44,67583.7400529
5,67584.42878897,1771803102972,2026-02-23T00:31:44.380863,2026-02-23 00:31:44,67584.42878897
5,67585.03310729,1771803163303,2026-02-23T00:32:44.231747,2026-02-23 00:32:44,67585.03310729
5,67585.55927656,1771803223737,2026-02-23T00:33:44.261295,2026-02-23 00:33:44,67585.55927656
5,67576.51217892,1771803281354,2026-02-23T00:34:43.765918,2026-02-23 00:34:43,67576.51217892
5,67571.65396179,1771803344067,2026-02-23T00:35:43.872307,2026-02-23 00:35:43,67571.65396179
5,67569.47314114,1771803403897,2026-02-23T00:36:43.885644,2026-02-23 00:36:43,67569.47314114
5,67568.31517227,1771803463807,2026-02-23T00:37:44.888432,2026-02-23 00:37:44,67568.31517227
5,67569.27761424,1771803526207,2026-02-23T00:38:45.872934,2026-02-23 00:38:45,67569.27761424
5,67564.87837721,1771803590503,2026-02-23T00:39:50.142288,2026-02-23 00:39:50,67564.87837721
5,67563.26754007,1771803645221,2026-02-23T00:40:45.550179,2026-02-23 00:40:45,67563.26754007
5,67562.72122017,1771803705212,2026-02-23T00:41:45.062605,2026-02-23 00:41:45,67562.72122017
5,67552.72878274,1771803765688,2026-02-23T00:42:45.515728,2026-02-23 00:42:45,67552.72878274
5,67535.75344076,1771803825366,2026-02-23T00:43:45.211885,2026-02-23 00:43:45,67535.75344076
5,67529.05740691,1771803885622,2026-02-23T00:44:45.282964,2026-02-23 00:44:45,67529.05740691
5,67521.05667412,1771803944911,2026-02-23T00:45:45.009467,2026-02-23 00:45:45,67521.05667412
5,67510.90518986,1771804004932,2026-02-23T00:46:44.613144,2026-02-23 00:46:44,67510.90518986
5,67512.62755185,1771804064072,2026-02-23T00:47:45.865162,2026-02-23 00:47:45,67512.62755185
5,67520.80340926,1771804125378,2026-02-23T00:48:45.028182,2026-02-23 00:48:45,67520.80340926
5,67534.67844635,1771804190427,2026-02-23T00:49:50.471341,2026-02-23 00:49:50,67534.67844635
5,67546.87979811,1771804245375,2026-02-23T00:50:45.450786,2026-02-23 00:50:45,67546.87979811
5,67560.36345977,1771804304884,2026-02-23T00:51:45.013877,2026-02-23 00:51:45,67560.36345977
5,67574.93357195,1771804365195,2026-02-23T00:52:44.907221,2026-02-23 00:52:44,67574.93357195
5,67582.34147871,1771804424527,2026-02-23T00:53:44.516827,2026-02-23 00:53:44,67582.34147871
5,67592.40175581,1771804484938,2026-02-23T00:54:44.596777,2026-02-23 00:54:44,67592.40175581
5,67603.09523842,1771804545216,2026-02-23T00:55:45.431215,2026-02-23 00:55:45,67603.09523842
5,67614.71760353,1771804605466,2026-02-23T00:56:45.748305,2026-02-23 00:56:45,67614.71760353
5,67653.59669238,1771804665171,2026-02-23T00:57:45.005284,2026-02-23 00:57:45,67653.59669238
5,67665.94869406,1771804726007,2026-02-23T00:58:45.612930,2026-02-23 00:58:45,67665.94869406
5,67684.40406414,1771804790427,2026-02-23T00:59:50.778070,2026-02-23 00:59:50,67684.40406414
5,67682.46455005,1771804845474,2026-02-23T01:00:45.201911,2026-02-23 01:00:45,67682.46455005
5,67684.45767977,1771804905832,2026-02-23T01:01:46.024161,2026-02-23 01:01:46,67684.45767977
5,67668.89791331,1771804966254,2026-02-23T01:02:45.895198,2026-02-23 01:02:45,67668.89791331
5,67653.69695366,1771805025614,2026-02-23T01:03:45.496634,2026-02-23 01:03:45,67653.69695366
5,67646.74800149,1771805085482,2026-02-23T01:04:45.837460,2026-02-23 01:04:45,67646.74800149
5,67635.72936821,1771805146040,2026-02-23T01:05:46.056409,2026-02-23 01:05:46,67635.72936821
5,67619.57227524,1771805205231,2026-02-23T01:06:45.650122,2026-02-23 01:06:45,67619.57227524
5,67611.83075153,1771805267850,2026-02-23T01:07:47.320294,2026-02-23 01:07:47,67611.83075153
5,67611.419261,1771805326476,2026-02-23T01:08:46.168287,2026-02-23 01:08:46,67611.419261
5,67620.39578153,1771805388789,2026-02-23T01:09:49.517397,2026-02-23 01:09:49,67620.39578153
5,67624.18102301,1771805444636,2026-02-23T01:10:45.281438,2026-02-23 01:10:45,67624.18102301
5,67629.6463093,1771805505716,2026-02-23T01:11:45.537225,2026-02-23 01:11:45,67629.6463093
5,67631.42680695,1771805566103,2026-02-23T01:12:45.808523,2026-02-23 01:12:45,67631.42680695
5,67629.91824392,1771805626418,2026-02-23T01:13:46.257199,2026-02-23 01:13:46,67629.91824392
5,67623.72132321,1771805686113,2026-02-23T01:14:45.925009,2026-02-23 01:14:45,67623.72132321
5,67621.07563257,1771805746016,2026-02-23T01:15:45.681865,2026-02-23 01:15:45,67621.07563257
5,67614.6073889,1771805805379,2026-02-23T01:16:45.974047,2026-02-23 01:16:45,67614.6073889
