mins,price,closeTime,timestamp,fetch_time,price_float
5,68000.42392467,1771676749695,2026-02-21T13:25:47.814669,2026-02-21 13:25:47,68000.42392467
5,68000.41314138,1771676811058,2026-02-21T13:26:49.873385,2026-02-21 13:26:49,68000.41314138
5,67989.79854412,1771676870869,2026-02-21T13:27:47.614502,2026-02-21 13:27:47,67989.79854412
5,67984.79816553,1771676930362,2026-02-21T13:28:50.014192,2026-02-21 13:28:50,67984.79816553
5,67979.14798701,1771676990204,2026-02-21T13:29:47.824569,2026-02-21 13:29:47,67979.14798701
5,67969.26529988,1771677049406,2026-02-21T13:30:47.979198,2026-02-21 13:30:47,67969.26529988
5,67954.88468179,1771677111570,2026-02-21T13:31:50.844139,2026-02-21 13:31:50,67954.88468179
5,67947.3334036,1771677170243,2026-02-21T13:32:47.838025,2026-02-21 13:32:47,67947.3334036
5,67944.00821263,1771677229071,2026-02-21T13:33:47.686074,2026-02-21 13:33:47,67944.00821263
5,67942.50108344,1771677289351,2026-02-21T13:34:49.129031,2026-02-21 13:34:49,67942.50108344
5,67944.35366572,1771677352213,2026-02-21T13:35:49.142020,2026-02-21 13:35:49,67944.35366572
5,67957.83601421,1771677413343,2026-02-21T13:36:51.369654,2026-02-21 13:36:51,67957.83601421
5,67967.31567438,1771677469017,2026-02-21T13:37:48.665900,2026-02-21 13:37:48,67967.31567438
5,67981.31375181,1771677530507,2026-02-21T13:38:47.858533,2026-02-21 13:38:47,67981.31375181
5,67998.00815012,1771677589214,2026-02-21T13:39:48.169514,2026-02-21 13:39:48,67998.00815012
5,68007.15766293,1771677649043,2026-02-21T13:40:48.927463,2026-02-21 13:40:48,68007.15766293
5,68023.38734697,1771677710787,2026-02-21T13:41:47.707570,2026-02-21 13:41:47,68023.38734697
5,68026.31651257,1771677769410,2026-02-21T13:42:47.471660,2026-02-21 13:42:47,68026.31651257
5,68027.63315007,1771677827949,2026-02-21T13:43:47.754601,2026-02-21 13:43:47,68027.63315007
5,68031.34433411,1771677890561,2026-02-21T13:44:47.450486,2026-02-21 13:44:47,68031.34433411
5,68032.21084569,1771677950879,2026-02-21T13:45:49.064641,2026-02-21 13:45:49,68032.21084569
5,68042.49543299,1771678010024,2026-02-21T13:46:49.065426,2026-02-21 13:46:49,68042.49543299
5,68050.43575845,1771678071389,2026-02-21T13:47:48.259659,2026-02-21 13:47:48,68050.43575845
5,68057.33994463,1771678130143,2026-02-21T13:48:47.974687,2026-02-21 13:48:47,68057.33994463
5,68063.85802223,1771678188687,2026-02-21T13:49:47.863100,2026-02-21 13:49:47,68063.85802223
5,68090.46199547,1771678251527,2026-02-21T13:50:48.122181,2026-02-21 13:50:48,68090.46199547
5,68102.36411506,1771678310205,2026-02-21T13:51:48.117598,2026-02-21 13:51:48,68102.36411506
5,68121.00516938,1771678368736,2026-02-21T13:52:47.841351,2026-02-21 13:52:47,68121.00516938
5,68142.11696453,1771678431258,2026-02-21T13:53:47.746978,2026-02-21 13:53:47,68142.11696453
5,68148.26123743,1771678490240,2026-02-21T13:54:48.000845,2026-02-21 13:54:48,68148.26123743
5,68167.77387034,1771678549351,2026-02-21T13:55:48.415786,2026-02-21 13:55:48,68167.77387034
5,68174.12705991,1771678616625,2026-02-21T13:56:56.027035,2026-02-21 13:56:56,68174.12705991
5,68177.6384897,1771678670768,2026-02-21T13:57:48.449395,2026-02-21 13:57:48,68177.6384897
5,68179.43404592,1771678729283,2026-02-21T13:58:48.364856,2026-02-21 13:58:48,68179.43404592
5,68182.74933098,1771678791265,2026-02-21T13:59:52.505210,2026-02-21 13:59:52,68182.74933098
5,68186.18479823,1771678851090,2026-02-21T14:00:48.432117,2026-02-21 14:00:48,68186.18479823
5,68187.29461881,1771678908396,2026-02-21T14:01:47.493806,2026-02-21 14:01:47,68187.29461881
5,68187.10347905,1771678973394,2026-02-21T14:02:52.815173,2026-02-21 14:02:52,68187.10347905
5,68186.58576315,1771679030204,2026-02-21T14:03:47.873286,2026-02-21 14:03:47,68186.58576315
5,68180.77379176,1771679089130,2026-02-21T14:04:47.817989,2026-02-21 14:04:47,68180.77379176
5,68170.29705877,1771679154435,2026-02-21T14:05:53.817652,2026-02-21 14:05:53,68170.29705877
5,68170.12165178,1771679214502,2026-02-21T14:06:51.294217,2026-02-21 14:06:51,68170.12165178
5,68167.37305564,1771679271127,2026-02-21T14:07:49.476460,2026-02-21 14:07:49,68167.37305564
5,68163.25203738,1771679333369,2026-02-21T14:08:52.729725,2026-02-21 14:08:52,68163.25203738
5,68162.32081472,1771679391246,2026-02-21T14:09:48.450134,2026-02-21 14:09:48,68162.32081472
5,68165.58112672,1771679449670,2026-02-21T14:10:48.048197,2026-02-21 14:10:48,68165.58112672
5,68166.68656627,1771679513096,2026-02-21T14:11:52.376158,2026-02-21 14:11:52,68166.68656627
5,68157.67616512,1771679570658,2026-02-21T14:12:48.127280,2026-02-21 14:12:48,68157.67616512
