date,close,sentiment_mean,news_count,target
2024-01-02,2064.39990234375,-0.0011341452289728147,29.0,0
2024-01-03,2034.199951171875,0.014833059660645867,29.0,1
2024-01-04,2042.300048828125,-0.005470965815793405,29.0,1
2024-01-05,2042.4000244140625,-0.02520180023228804,41.0,0
2024-01-08,2026.5999755859373,0.014956439393939392,40.0,0
2024-01-09,2026.4000244140625,0.034776139776139775,37.0,0
2024-01-10,2021.699951171875,0.006867678889737716,34.0,0
2024-01-11,2014.300048828125,0.03973905723905724,30.0,1
2024-01-12,2046.699951171875,0.04509534116676974,22.0,0
2024-01-16,2026.0,0.010262171403475753,23.0,0
2024-01-17,2002.5999755859373,0.00192041381557511,31.0,1
2024-01-18,2018.5999755859373,0.07160167341618955,31.0,1
2024-01-19,2026.5,0.04858333333333333,20.0,0
2024-01-22,2019.800048828125,0.004956158810325477,36.0,1
2024-01-23,2023.699951171875,0.011430131430131434,37.0,0
2024-01-24,2013.9000244140625,0.012793894226821057,41.0,1
2024-01-25,2016.9000244140625,0.05433372478585244,47.0,0
2024-01-26,2016.800048828125,0.05107074232074232,37.0,1
2024-01-29,2025.199951171875,0.01192753427128427,32.0,1
2024-01-30,2031.5,0.007032287157287152,20.0,1
2024-01-31,2048.39990234375,0.0576082251082251,18.0,1
2024-02-01,2053.0,0.10459253246753246,20.0,0
2024-02-02,2036.0999755859373,0.027476776695526686,24.0,0
2024-02-05,2025.699951171875,-0.015838799247890153,22.0,1
2024-02-06,2034.5,0.02722236097236097,13.0,1
2024-02-07,2035.199951171875,0.07198309626881055,21.0,0
2024-02-08,2032.199951171875,0.05573583743842364,29.0,0
2024-02-09,2023.300048828125,0.10395998677248677,18.0,0
2024-02-12,2018.199951171875,-0.00913156288156288,26.0,0
2024-02-13,1992.9000244140625,0.1090098261526833,21.0,0
2024-02-14,1990.300048828125,0.034200522801713276,28.0,1
2024-02-15,2002.0999755859373,0.05402432712215321,23.0,1
2024-02-16,2011.5,0.056212121212121206,11.0,1
2024-02-20,2027.5,0.02635088291338292,26.0,0
2024-02-21,2022.300048828125,0.06339679260133806,22.0,0
2024-02-22,2019.699951171875,0.08178746337837248,33.0,1
2024-02-23,2038.5999755859373,0.077951860800698,43.0,0
2024-02-26,2028.5,-0.0384600101544546,45.0,1
2024-02-27,2034.0,0.008636363636363635,31.0,0
2024-02-28,2033.0,0.027869605142332415,33.0,1
2024-02-29,2045.699951171875,0.02848484848484848,30.0,1
2024-03-01,2086.89990234375,0.08097675200616376,34.0,1
2024-03-04,2117.699951171875,0.008566017316017313,22.0,1
2024-03-05,2133.5,0.026379551820728292,17.0,1
2024-03-06,2150.300048828125,0.07436755952380952,12.0,1
2024-03-07,2158.0,0.04007711038961039,22.0,1
2024-03-08,2178.60009765625,0.05958189033189033,20.0,1
2024-03-11,2182.5,0.005366394358329844,31.0,0
2024-03-12,2160.39990234375,-0.051863808539944906,22.0,1
2024-03-13,2175.39990234375,0.01720730369167869,24.0,0
2024-03-14,2163.0,0.07904010341510341,24.0,0
2024-03-15,2157.300048828125,0.04612313612313612,18.0,1
2024-03-18,2160.699951171875,-0.027855555555555554,25.0,0
2024-03-19,2156.300048828125,-0.08604395604395604,13.0,1
2024-03-20,2157.89990234375,-0.05797619047619048,15.0,1
2024-03-21,2182.39990234375,0.005417814508723598,22.0,0
2024-03-22,2158.10009765625,-0.023710918710918714,15.0,1
2024-03-25,2174.800048828125,-0.021189346568134447,33.0,1
2024-03-26,2175.60009765625,-0.03821661998132587,34.0,1
2024-03-27,2190.60009765625,-0.040099144150868286,29.0,1
2024-03-28,2217.39990234375,0.00680754917597023,38.0,1
2024-04-01,2236.5,0.0602366614866615,26.0,1
2024-04-02,2261.0,-0.01863047770942508,19.0,1
2024-04-03,2294.39990234375,0.053208616780045355,28.0,0
2024-04-04,2288.800048828125,0.08962640340689121,41.0,1
2024-04-05,2325.699951171875,0.09633838383838383,24.0,1
2024-04-08,2331.699951171875,-0.0334170653907496,19.0,1
2024-04-09,2343.5,0.015323709029066176,14.0,0
2024-04-10,2329.60009765625,-0.013541666666666664,16.0,1
2024-04-11,2354.800048828125,0.10945128367003368,18.0,1
2024-04-12,2356.199951171875,0.021889558853844568,21.0,1
2024-04-15,2365.800048828125,-0.013257350288600289,24.0,1
2024-04-16,2390.800048828125,0.026908508158508152,13.0,0
2024-04-17,2371.699951171875,0.059199134199134196,14.0,1
2024-04-18,2382.300048828125,0.018714488636363637,16.0,1
2024-04-19,2398.39990234375,0.074930426716141,14.0,0
2024-04-22,2332.199951171875,0.006402972027972026,26.0,0
2024-04-23,2327.699951171875,0.0230672268907563,17.0,0
2024-04-24,2324.5,-0.005205627705627709,25.0,1
2024-04-25,2329.800048828125,0.021837732160312803,31.0,1
2024-04-26,2334.800048828125,0.005507575757575759,15.0,1
2024-04-29,2345.39990234375,-0.00977627840909091,32.0,0
2024-04-30,2291.39990234375,-0.019803571428571427,20.0,1
2024-05-01,2299.89990234375,-0.01065229154903068,23.0,0
2024-05-02,2299.199951171875,0.06444107975357974,26.0,0
2024-05-03,2299.0,0.05950899977215767,19.0,1
2024-05-06,2321.60009765625,-0.02540322051685688,22.0,0
2024-05-07,2315.199951171875,0.0027061051693404664,17.0,0
2024-05-08,2313.60009765625,0.04666666666666666,23.0,1
2024-05-09,2332.10009765625,0.042932162534435256,36.0,1
2024-05-10,2367.300048828125,0.15487689393939394,20.0,0
2024-05-13,2336.10009765625,-0.026181818181818185,20.0,1
2024-05-14,2353.39990234375,-0.03309027777777778,12.0,1
2024-05-15,2388.699951171875,-0.006778273809523814,16.0,0
2024-05-16,2380.0,0.09815873015873014,15.0,1
2024-05-17,2412.199951171875,0.09590773809523809,8.0,1
2024-05-20,2433.89990234375,-0.019980158730158733,28.0,0
2024-05-21,2421.699951171875,-0.07935570987654321,24.0,0
2024-05-22,2389.199951171875,0.03691358024691358,6.0,0
2024-05-23,2335.0,0.025531286894923254,22.0,0
2024-05-24,2332.5,0.05288395316804407,22.0,1
2024-05-28,2355.199951171875,0.025733691595760562,29.0,0
2024-05-29,2340.300048828125,0.05468434343434343,20.0,1
2024-05-30,2342.89990234375,0.06673160173160173,28.0,0
2024-05-31,2322.89990234375,0.012210338680926917,17.0,1
2024-06-03,2346.60009765625,-0.0131640625,32.0,0
2024-06-04,2325.5,0.028413299663299665,18.0,1
2024-06-05,2354.10009765625,0.05909090909090909,16.0,1
2024-06-06,2370.300048828125,0.10090811965811965,26.0,0
2024-06-07,2305.199951171875,0.05935778236914601,22.0,1
2024-06-10,2307.699951171875,0.01789809863339275,17.0,0
2024-06-11,2307.5,0.06492003367003367,15.0,1
2024-06-12,2336.0,0.0449074074074074,12.0,0
2024-06-13,2300.199951171875,0.11520833333333333,16.0,1
2024-06-14,2331.39990234375,0.02350378787878788,14.0,0
2024-06-17,2312.39990234375,0.04959677419354839,31.0,1
2024-06-18,2330.39990234375,0.07558035714285714,24.0,1
2024-06-20,2353.800048828125,0.07590702947845804,21.0,0
2024-06-21,2316.39990234375,0.09730392156862745,17.0,1
2024-06-24,2330.0,0.03298761423761424,12.0,0
2024-06-25,2316.60009765625,-0.10285714285714287,10.0,0
2024-06-26,2299.199951171875,0.002521244187910855,11.0,1
2024-06-27,2324.5,0.1613997113997114,11.0,1
2024-06-28,2327.699951171875,0.19452191987906275,6.0,0
2024-07-01,2327.60009765625,0.03386266592406944,19.0,0
2024-07-02,2323.0,0.033908199643493765,17.0,1
2024-07-03,2359.800048828125,0.044166666666666674,15.0,1
2024-07-05,2388.5,0.05709435626102292,18.0,0
2024-07-08,2355.199951171875,-0.05813131313131312,12.0,1
2024-07-09,2360.10009765625,-0.12815873015873014,10.0,1
2024-07-10,2372.199951171875,-0.04652097902097902,13.0,1
2024-07-11,2415.0,0.09661415744749077,18.0,0
2024-07-12,2414.0,0.07351436442345533,11.0,1
2024-07-15,2422.89990234375,0.0598406685906686,21.0,1
2024-07-16,2462.39990234375,0.01997126436781609,29.0,0
2024-07-17,2454.800048828125,-0.002701118326118331,30.0,0
2024-07-18,2451.800048828125,0.023472823472823468,38.0,0
2024-07-19,2395.5,-0.00393752338196783,18.0,0
2024-07-22,2392.0,0.06859848484848484,22.0,1
2024-07-23,2404.60009765625,0.06689814814814815,16.0,1
2024-07-24,2413.300048828125,0.06510200039611805,17.0,0
2024-07-25,2351.89990234375,0.1394524959742351,23.0,1
2024-07-26,2380.0,0.023236199716462878,38.0,0
2024-07-29,2377.300048828125,-0.04182576187040473,28.0,1
2024-07-30,2405.0,-0.03657640692640693,25.0,1
2024-07-31,2426.5,0.03609685707246683,41.0,1
2024-08-01,2435.0,-0.0159493746993747,42.0,0
2024-08-02,2425.699951171875,-0.021531327095843225,31.0,0
2024-08-05,2401.699951171875,0.03050672986017814,29.0,0
2024-08-06,2389.10009765625,0.04520365997638725,22.0,1
2024-08-07,2390.5,0.01539081289081289,18.0,1
2024-08-08,2422.199951171875,0.0063382889040783695,19.0,1
2024-08-09,2432.10009765625,-0.015504329004329014,15.0,1
2024-08-12,2462.39990234375,0.01210747571538662,31.0,1
2024-08-13,2466.699951171875,0.027302023924047736,24.0,0
2024-08-14,2439.39990234375,0.024109542807021798,34.0,1
2024-08-15,2453.10009765625,-0.033266683371363175,29.0,1
2024-08-16,2498.60009765625,-0.03228338830481688,25.0,1
2024-08-19,2501.800048828125,-0.0005992618492618515,13.0,1
2024-08-20,2511.300048828125,-0.01991950757575758,16.0,0
2024-08-21,2508.39990234375,-0.0025084175084175123,27.0,0
2024-08-22,2478.89990234375,-0.021911976911976914,28.0,1
2024-08-23,2508.39990234375,-0.039381313131313135,20.0,1
2024-08-26,2517.699951171875,-0.004164929720485274,27.0,0
2024-08-27,2516.0,0.052457431457431446,20.0,0
2024-08-28,2501.0,0.08217340818903318,24.0,1
2024-08-29,2525.699951171875,0.018708513708513713,15.0,0
2024-08-30,2493.800048828125,-0.08386433361223278,17.0,0
2024-09-03,2489.89990234375,-0.06018884497145367,23.0,1
2024-09-04,2493.39990234375,0.015422278338945003,18.0,1
2024-09-05,2511.39990234375,0.055498536956870285,36.0,0
2024-09-06,2493.5,0.05025968389249639,32.0,1
2024-09-09,2501.800048828125,-0.0013558201058201024,18.0,1
2024-09-10,2512.300048828125,-0.0003045460608485814,34.0,0
2024-09-11,2512.10009765625,-0.04485044075350198,35.0,1
2024-09-12,2551.199951171875,-0.03421249323593074,32.0,1
2024-09-13,2581.300048828125,0.009628194386258901,31.0,0
2024-09-16,2580.39990234375,-0.01859473221542187,29.0,0
2024-09-17,2564.300048828125,-0.008085678210678213,30.0,1
2024-09-18,2570.699951171875,-0.003369218500797448,19.0,1
2024-09-19,2588.0,0.08348883572567782,19.0,1
2024-09-20,2619.89990234375,0.05928413910851927,22.0,1
2024-09-23,2626.5,-0.003019972451790637,24.0,1
2024-09-24,2651.199951171875,-0.02405357142857143,20.0,1
2024-09-25,2659.199951171875,0.02853137284171767,29.0,1
2024-09-26,2669.89990234375,0.009023297491039426,31.0,0
2024-09-27,2644.300048828125,0.032257936507936506,30.0,0
2024-09-30,2636.10009765625,-0.045359347442680775,27.0,1
2024-10-01,2667.300048828125,0.045254329004329005,28.0,0
2024-10-02,2647.10009765625,0.052934890779718365,29.0,1
2024-10-03,2657.10009765625,0.038299663299663306,27.0,0
